Recipe Name,Portions,Cooking Time (min),Calories (Kcal)
Omelette regina,1,25,325.0
"Peperoni ripieni di ricotta, melanzane e pinoli",2,80,
Quiche di zucchine trombetta,2,90,408.0
Bagel farcito,4,90,412.0
Ciambella salata,2,70,
Polenta con salsiccia e formaggio,2,90,1632.0
Carciofi ripieni,2,80,295.0
Peperoni ripieni di couscous,2,95,388.0
Insalata di riso alla marinara,1,120,375.0
Bollito misto alla Piemontese,3,200,671.0
Tabuleh con verdure,2,150,159.0
Rotolo di crespelle con zucchine,3,95,434.0
Cotechino in crosta,3,80,1051.0
Insalata di pollo e avocado,2,60,
Quesadillas,2,55,937.0
Coniglio in salmì con polenta,2,150,526.0
Quiche di polenta,1,75,341.0
Panada,3,135,1100.0
Farro tiepido con pollo al miele,1,30,521.0
Paella algherese,3,60,
Cime di rapa con salsiccia,2,60,568.0
Moscardini alla busara,1,120,389.0
Jambalaya,2,70,1119.0
Lampredotto,2,105,254.0
Torta salata alla cipolla di Tropea e Silano,1,90,
Crema di porri e patate con spiedino di salmone,2,75,612.0
Angelica salata alla birra,4,95,460.0
Torta di ceci,2,30,
Lingue di pizza,3,100,
Piadina senza glutine,2,25,319.0
Pomodori ripieni di carne,2,65,161.0
Fajitas di pollo e cubetti di pancetta affumicata,2,30,
Lomo saltado,2,60,
Couscous con verdure e polpettine di pesce,2,75,468.0
Zucchine ripiene di riso,2,60,
Vellutata di ceci con sautè di cozze e vongole,1,75,623.0
Insalata di riso alla greca,1,30,
Vegan burger di lenticchie rosse,2,60,506.0
Gratin dauphinois,1,120,532.0
Insalata di quinoa vegetariana,2,55,
Pizza di barbabietola,2,50,
Pita con hummus di pomodori secchi,2,38,434.0
One-pot parmigiana,2,80,304.0
Morzello (Morzeddhu alla Catanzarisi),3,330,
Insalata di sedano e peperoni,2,60,396.0
Zucchine alla pizzaiola,2,70,329.0
Capriolo in salmì con polenta di grano saraceno,3,270,737.0
Crespelle ripiene di carciofi e salsiccia,3,65,
Il Goloso,2,105,
Toast vegetariano,2,30,
Insalata di quinoa alla greca,2,55,
Arepas ripiene di carne,3,230,544.0
Panino wurstel e patatine,1,25,743.0
Spitini palermitani,3,190,533.0
"Paella di pollo, peperoni e piselli",3,90,
Pulled chicken,3,140,
Chifeletti,1,60,
Pomodori ripieni di riso patate e cozze,2,80,220.0
Tigelle crudo e crescenza,2,25,293.0
Carpaccio di zucchine con tonno,2,10,403.0
Gattò di patate con soppressata e provola affumicata,1,70,
Salmone agli agrumi con riso pilaf,2,80,698.0
Insalata di farro invernale,1,45,609.0
Crescentine (o tigelle) con la cunza,2,25,307.0
Nasi Goreng,2,70,
Wrap con hummus piccante e verdure,2,17,434.0
Empanadas di tonno,3,130,186.0
Sandwich di pollo,2,40,853.0
Cipollata,2,140,783.0
Poke bowl vegetariano,2,50,
Insalata di pollo croccante con vinaigrette,2,30,
Tajine con verdure,1,120,534.0
Timballo di verdure e noci,2,75,207.0
Sushi vegetariano,4,45,228.0
Polenta e fagioli,2,170,504.0
Insalata di patate e salmone,1,60,
Wrap di polpo,1,30,575.0
