ingrediente,price_max,price_min
Cipollotto fresco (la parte verde),7.36,7.36
Cipollotto fresco la parte verde,77.0,0.53
Cipollotto fresco piccoli,25.2,3.99
Cocomero (anguria) polpa,2.59,2.59
Coda di rospo pulita,45.45,39.6
Concentrato di pomodoro,10.56,7.31
Controfiletto di manzo,34.92,12.5
Coppa di maiale,48.17,7.22
Coriandolo,33.33,33.33
Coriandolo (fresco),33.33,33.33
Coriandolo fresco,33.33,33.33
Corn flakes,8.33,4.38
Cosce di pollo (circa 700 g),15.0,15.0
Costine di maiale,9.0,7.99
Cotechino Modena precotto,13.98,13.98
Cotechino precotto,6.38,6.38
Cous cous,19.5,2.38
Cous cous Integrale,19.5,2.38
Cous cous Semola Oro,18.14,2.38
Cozze,16.76,4.99
Crescenza,17.5,10.24
Culatello a fette,74.9,74.9
Cumino,,
Cumino in polvere,23.22,14.67
Curcuma in polvere,67.25,7.62
Curry,78.33,23.8
Curry thai verde,26.45,26.45
Daikon,,
Edamame,17.31,17.31
Edamame surgelati,19.97,3.19
Edamer,25.0,25.0
Edamer (a fette),25.0,25.0
Edamer (da cui ottenere 2 fette),25.0,25.0
Edamer da grattugiare,25.0,25.0
Emmentaler 8 fette,19.49,19.49
Emmentaler a fette,19.49,19.49
Emmentaler da grattugiare,19.49,19.49
Erba cipollina,199.17,33.33
Erba cipollina tritata,199.17,33.33
Erbette,10.83,3.96
Erbette (da pulire),10.83,3.96
Fagioli bianchi secchi,2.04,2.04
Fagioli borlotti precotti,4.36,4.36
Fagioli borlotti secchi,4.36,4.36
Fagioli cannellini precotti,5.31,4.5
Fagioli cannellini precotti (peso sgocciolato),5.31,4.5
Fagioli neri precotti,7.16,7.16
Fagioli rossi precotti (già scolati),7.07,7.07
Fagioli rossi secchi,7.07,7.07
Fagiolini,14.16,2.84
Fagiolini piattoni,14.16,2.84
Farina,16.58,1.25
Farina 0,16.58,1.25
Farina 00,0.66,0.55
Farina 00 + q.b. per la spianatoia,0.66,0.55
Farina Manitoba,2.75,2.75
Farina di ceci,20.69,3.7
Farina di grano duro,12.5,1.45
Farina di grano saraceno,21.5,3.27
Farina di mais a cottura istantanea,3.44,3.44
Farina di mais bianco precotto,5.29,5.29
Farina di mais bramata,5.29,1.75
Farina di mais fioretto,5.29,3.44
Farina di mais integrale per polenta istantanea,1.75,1.75
Farina di mais per polenta,5.29,3.44
Farina di riso,16.58,1.25
Farina integrale,27.0,1.59
Farina istantanea per polenta,1.75,1.75
Farina istantanea per polenta taragna,2.25,2.25
Farro,23.12,2.19
Farro perlato,8.27,3.7
Farro precotto,23.12,2.19
Fave,7.51,3.71
Fave (da sgranare),7.51,3.71
Fave sgranate,8.27,3.71
Fave sgranate e sbucciate,8.27,3.71
Fesa di tacchino,34.9,6.9
Feta,19.39,16.5
Feta da sbriciolare,16.5,16.5
Fettine di manzo (2 fette),22.0,9.92
Fettine di manzo spesse circa un centimetro,22.0,9.92
Fichi,33.8,6.03
Fieno greco semi,9.27,3.96
Filetti di tonno,55.47,7.99
Filetto di manzo,39.0,9.92
Filetto di merluzzo,31.19,31.19
Filetto di salmone,50.8,9.92
Filetto di salmone grigliato,50.8,29.9
Filoncini di pane,15.56,3.96
Filoncini di pane (2 panini),15.56,3.96
Filoncini di pane (tipo francesino),15.56,3.96
Finocchietto selvatico,,
Fiordilatte,13.96,5.58
Fiori di zucca,39.09,10.58
Fiori di zucca (da pulire),39.09,10.58
Foglie di bambù secche,165.83,46.9
Fontina,20.49,20.49
Formaggio,26.9,3.93
Formaggio comté,26.9,3.93
Formaggio fresco spalmabile,20.62,9.66
Formaggio puzzone,26.9,3.93
Fragole,4.89,4.89
Friggitelli,5.66,5.66
Fumetto di pesce,69.75,6.64
Funghi champignon,7.83,3.98
Funghi champignon (da pulire),7.83,3.98
Funghi finferli (gallinacci),203.33,3.98
Funghi orecchioni o ostrica (Pleurotus),203.33,3.98
Funghi porcini,203.33,6.63
Funghi portobello ( del diametro di circa 8 cm),203.33,3.98
Fusi di pollo,6.49,3.99
Fusi di pollo (6 pezzi),6.49,3.99
Gallinella pulita,17.9,12.9
Gamberetti,47.92,27.92
Gamberi,23.89,6.82
Gamberi (da pulire),23.89,6.82
Gamberi gamberetti,47.92,12.51
Gamberi interi,19.88,19.88
Gamberi le code,29.16,29.16
Garam Masala,19.45,19.45
Germogli di ravanello,11.67,7.17
Germogli di soia,11.67,7.17
Gherigli di noci,37.5,2.28
Ghiaccio,1.48,1.48
Glassa di aceto balsamico,27.16,3.98
Gorgonzola,22.5,9.97
Gorgonzola dolce cremoso,35.38,35.38
Gorgonzola piccante,22.5,9.97
Grana Padano DOP,27.53,12.45
Grana Padano DOP (da grattugiare),27.53,12.45
Grana Padano DOP Riserva oltre 20 mesi,21.96,21.96
Grana Padano DOP da grattugiare,27.53,12.45
Granella di nocciole,53.0,5.38
Grissini,22.04,1.5
Groviera,,
IGP,49.9,1.9
Indivia belga,7.87,2.56
Insalata,13.52,13.52
Insalata Batavia,33.33,2.36
Insalata batavia,33.33,2.36
Insalata mista,9.9,1.9
Insalata misticanza,16.9,16.9
Insalata trocadero,2.24,2.24
Ketchup,74.17,3.89
Lamponi,31.84,6.22
Lampredotto,,
Lardo,35.57,25.56
Lardo di Colonnata,25.56,25.56
Latte,29.84,14.76
Latte (caldo),29.84,14.76
Latte (tiepido),29.84,14.76
Latte di cocco,11.93,2.28
Latte di cocco intero,,
Latte intero,4.58,0.99
Latte intero (a temperatura ambiente),4.58,0.99
Lattuga,2.16,1.84
Lattuga baby,4.03,1.95
Lattuga iceberg,6.72,2.16
Lattuga iceberg a julienne,5.5,5.5
Lattuga iceberg piccolo cespo,2.16,1.84
Lattuga lollo,2.16,1.84
Lattuga qualche,2.16,1.84
Lemongrass,2.23,1.35
Lemongrass (citronella),2.23,1.35
Lenticchie rosse decorticate,5.18,5.18
Lenticchie secche,10.93,3.7
Lievito di birra fresco,50.0,7.8
Lievito di birra secco,50.0,45.0
Lievito di birra secco (o 11 g se fresco),50.0,45.0
Lievito di birra secco (o fresco 11 g),50.0,45.0
Lievito istantaneo per preparazioni salate,23.33,23.33
"Lievito istantaneo per preparazioni salate 3,8",23.33,23.33
Lime,44.91,4.5
Lime (Kaffir lime),5.93,5.93
Lime (il succo e la scorza),44.91,4.5
Lime il succo e la scorza,44.91,4.5
Limoni,15.0,2.0
Limoni di Sorrento,14.98,2.0
Lonza di maiale,34.9,7.79
Luganega,11.11,9.99
Maggiorana,254.44,199.0
Maggiorana secca,71.6,3.99
Maionese,115.83,3.98
Maionese (o ketchup),115.83,3.98
Mais,8.75,2.77
Malto,7.05,3.56
Mandorle,56.25,3.84
Mandorle in scaglie,9.62,9.62
Mandorle pelate,75.0,10.96
Mango,30.69,1.35
Manzo (punta di petto),34.92,8.48
Manzo (straccetti di bovino adulto),34.92,8.48
Manzo macinato,34.92,8.48
Manzo punta di petto,57.0,42.38
Manzo roast beef a fette,24.91,24.0
Manzo scamone,34.92,12.5
Manzo tritato,25.8,25.8
Mascarpone,15.16,6.69
Melanzane,21.39,1.98
Melanzane (circa 1),21.39,1.98
Melanzane lunga,,
Melanzane lunghe,17.27,1.98
Melanzane tonde,4.24,2.35
Mele Evelina (circa 2),2.76,2.76
Mele Golden,26.39,0.98
Mele Granny Smith,2.18,2.18
Mele verdi,15.9,6.18
Menta,33.33,2.0
Menta qualche,33.33,2.0
Miele,25.16,5.48
Miele di acacia,15.38,6.71
Miele millefiori,10.38,5.98
Mix di farine senza glutine (mix universale),1.69,1.69
Mix di pepi in grani,40.61,3.16
Moscardini puliti,7.6,7.6
Mozzarella,35.45,6.3
Mozzarella (affumicata),35.45,6.3
Mozzarella di bufala,19.6,12.3
Mozzarella per pizza,8.98,7.48
Mozzarelline ciliegine,11.96,11.96
Nasello (filetto pulito),25.96,13.98
Nduja,26.61,26.61
Nocciole intere spellate,16.61,13.9
Noce moscata,78.33,11.96
Noce moscata (da grattugiare),78.33,11.96
Noce moscata da grattugiare,78.33,56.86
Noci,37.5,2.28
Noodles,28.08,7.0
Noodles di grano tenero,1.39,1.39
Noodles di riso,28.08,7.0
Olio di oliva,66.56,5.17
Olio di semi,29.0,1.79
Olio di semi (per friggere),35.95,1.79
Olio di semi di arachide,4.79,1.79
Olio di semi di arachide per friggere,4.79,3.29
Olio di semi di girasole,10.85,1.79
Olio di semi di girasole alto oleico,26.5,1.79
Olio di semi di girasole per friggere,21.9,1.79
Olio di semi di mais,9.73,1.79
Olio di semi per friggere,2.29,1.79
Olio di semi per friggere le melanzane,1.99,1.99
Olio di sesamo,9.97,7.69
Olio extravergine di oliva,12.25,9.39
Olio extravergine di oliva biologico non filtrato,15.87,9.89
Olio extravergine di oliva circa,12.25,12.25
Olive leccino,14.6,14.6
Olive nere,28.85,3.98
Olive nere (denocciolate),28.85,3.98
Olive nere denocciolate,22.89,15.31
Olive nere greche,11.9,10.9
Olive nere greche denocciolate,22.89,15.31
Olive taggiasche,25.87,25.87
Olive taggiasche (denocciolate),25.87,25.87
Olive taggiasche denocciolate,31.47,16.58
Olive verdi denocciolate,22.38,7.0
Origano,199.17,58.63
Origano fresco,199.17,58.63
Origano secco,199.17,58.63
Ossibuchi di tacchino (quattro),13.98,13.98
Pan brioche (tipo Hokkaido),22.46,2.27
Pancarrè,,
Pancarrè ai cereali,7.86,7.86
Pancetta,40.0,5.98
Pancetta affumicata,40.0,9.9
Pancetta affumicata a cubetti,24.94,9.95
Pane,7.63,7.63
Pane (panini tipo michetta),7.63,7.63
Pane (sfilatino),7.63,7.63
Pane (tipo sfilatino da 20/22 cm),7.63,7.63
Pane ai 3 farri,21.16,6.18
Pane ai cereali,7.87,3.56
Pane arabo,15.56,3.96
Pane bianco in cassetta,8.97,5.5
Pane casereccio,17.08,17.08
Pane casereccio (1 filone intero),17.08,17.08
Pane casereccio (1 pagnotta tipo pugliese),17.08,17.08
Pane grattugiato,27.53,2.18
Pane integrale in cassetta,5.5,5.5
Pane integrale multi-cereali,10.83,10.83
Pane integrale raffermo,5.5,5.5
Pane macinato grossolanamente,15.56,3.96
Pane raffermo ai cereali,7.86,7.86
Pane raffermo mollica,15.56,3.96
Pane raffermo soltanto la mollica,,
Pane rustico,8.97,4.18
Pane senza glutine (con lievito madre),24.4,1.4
Pane senza glutine (mini baguette),24.4,1.4
Pane senza glutine ai cereali,8.95,5.83
Pane senza glutine bianco,11.88,5.16
"Pane tipo ""francesino""",1.75,0.99
Pane toscano,21.5,21.5
Pangrattato,11.96,3.23
Pangrattato (per la panatura),11.96,3.23
Pangrattato per impanare,11.96,11.96
Panini (tartarughe),8.3,3.23
Panini (tipo michette),8.3,3.23
Panini ai cereali,7.87,7.86
Panini ai cereali con semi,7.87,7.86
Panini ai cereali piccoli,8.95,5.83
Panini da hamburger,7.0,3.63
Panini da hamburger (con semi),26.6,3.63
Panini da hamburger ai cereali,7.86,5.63
Panini da hamburger con i semi,7.0,5.63
Panini da hamburger con semi,7.0,5.63
Panini da hot dog,7.16,3.96
Panini da hot dog (New England hot dog bun),7.16,3.96
Panini di grano duro,12.5,1.45
Panini di grano duro (tipo tartaruga),12.5,1.45
Panini integrali,16.6,1.78
Panini michette,7.16,5.63
Panko,,
Panna acida,13.0,7.17
Panna fresca liquida,11.4,6.38
Paprika,70.0,70.0
Paprika affumicata,70.0,9.78
Paprika dolce,70.0,49.75
Paprika forte,78.77,2.98
Paprika piccante,70.0,9.78
Parmigiano Reggiano DOP,45.67,0.99
Parmigiano Reggiano DOP (da grattugiare),45.67,0.99
Parmigiano Reggiano DOP da grattugiare,26.76,0.99
Parmigiano Reggiano DOP grattugiato,31.67,0.99
Parmigiano Reggiano DOP stagionato 24 mesi,26.63,19.9
Passata di pomodoro,3.67,1.27
Patate,18.32,0.99
Patate (1 grande),18.32,0.99
Patate fritte congelate,3.83,3.83
Patate medie,18.32,0.99
Patate novelle,1.97,1.97
Patate piccole,5.62,5.62
Patate rosse,3.5,3.5
Patate rosse (grandi),3.5,3.5
Patate tutte della stessa grandezza,21.56,21.56
Pecorino da grattugiare,25.49,19.9
Pecorino di fossa,25.49,19.9
Pecorino grattugiato,31.5,2.18
Pecorino media stagionatura,25.49,19.9
Pecorino romano,31.5,15.16
Pecorino romano DOP,26.36,22.9
Pecorino romano da grattugiare,26.36,22.9
Pecorino romano grattugiato,31.5,22.9
Pecorino romano in scaglie,26.36,22.9
Pecorino toscano semi stagionato,29.83,17.9
Pepe,283.33,7.25
Pepe bianco,,
Pepe di Caienna,283.33,14.76
Pepe giamaicano in grani,283.33,14.76
Pepe nero,81.17,14.32
Pepe nero (facoltativo),81.17,14.32
Pepe nero in grani,81.17,14.32
Pepe nero macinato al momento,81.17,14.32
Pepe rosa,129.55,0.12
Pepe rosa in grani,129.55,0.12
Peperoncino,90.45,4.0
Peperoncino fresco,90.45,42.71
"Peperoncino fresco ( varietà molto piccante, Aji amarillo)",90.45,4.0
Peperoncino fresco dolce,14.15,14.15
Peperoncino fresco lungo,71.93,1.89
Peperoncino fresco piccoli,25.2,3.99
Peperoncino fresco rosso,22.58,3.08
Peperoncino in polvere,23.22,14.67
Peperoncino privato dai semi,90.45,4.0
Peperoncino secco,13.2,13.2
Peperoncino secco piccoli,25.2,3.99
Peperoncino secco piccolo,90.45,4.0
Peperoncino verde piccante,,
Peperoni,18.76,2.98
Peperoni (rossi e gialli),18.76,2.98
Peperoni gialli,3.45,3.45
Peperoni misti,33.33,9.83
Peperoni rossi,3.45,0.98
Peperoni rossi medio,3.45,3.45
"Peperoni rossi, gialli e verdi",3.45,3.45
Peperoni verdi,15.9,6.18
Pesce del prete pulito,19.9,19.9
Pesce spada,69.0,21.98
Petto di pollo,29.83,11.0
Petto di pollo (100% italiano),29.83,11.0
Petto di pollo 100% italiano,43.9,4.31
Petto di pollo intero,43.9,9.96
Petto di tacchino arrosto,39.08,10.68
Piadine,8.71,6.38
Piadine (da circa 24 cm di diametro),8.71,6.38
Piadine Arrotolabili,12.5,3.65
Piadine Romagnole IGP alla riminese,9.97,3.65
