ingrediente,price_max,price_min
"Toma (con latte 100% italiano, 4 fettine)",20.9,20.9
Toma piemontese,23.8,5.48
Tomini,,
Tonno,162.5,11.14
Tonno (abbattuto),162.5,11.14
Tonno (o salmone fresco a bastoncini di 1 cm),162.5,11.14
Tonno precedentemente abbattuto,162.5,11.14
Tortillas,16.62,7.64
Tortillas di farina,16.62,7.64
Tortillas di farina mini,25.46,2.59
Tortillas di farina piccole,16.62,7.64
Tortillas di mais,16.62,7.64
Tortillas piccole,16.62,7.64
Tracina pulita,17.9,12.9
Tranci di salmone,36.32,9.37
Triglie pulite,24.9,24.9
"Trippa(reticolo,rumine e omaso ""centupezzi"")",9.98,7.99
Tuorli,,
Uova,7.86,3.98
Uova (1 piccolo),7.86,2.86
Uova (circa 1 medio),17.59,2.86
Uova (circa 1),17.59,2.86
Uova (circa 2 medie),17.59,2.86
Uova (circa 3 medie),17.59,2.86
Uova (circa 5),7.86,3.98
Uova (medie),17.59,3.98
Uova (per spennellare),17.59,2.86
Uova bio,17.59,2.86
Uova di lompo (succedaneo caviale) (o di,57.8,57.8
Uova di lompo (succedaneo caviale) o di salmone o di pesce volante,57.8,57.8
Uova freschissime,10.23,2.86
Uova grandi biologiche,10.23,4.2
Uova medie,7.16,3.74
Uvetta,26.98,12.0
Valeriana (songino),,
Verdure miste surgelate,10.68,9.39
Verza,0.98,0.98
Verza già pulita,11.96,5.38
Vino bianco,27.23,27.23
Vino bianco secco,27.23,27.23
Vino di riso,27.23,27.23
Vino rosso,27.23,0.85
Vitello copertina di spalla,39.93,8.49
Vitello cuore,18.03,6.5
Vitello grasso,39.93,8.49
Vitello macinato,39.93,8.49
Vitello milza,39.93,8.49
Vitello pancia,39.93,8.49
Vitello polmoni,39.93,8.49
Vitello trachea,39.93,8.49
Vongole,29.8,5.98
Wasabi,69.53,69.53
Wasabi (kizami),69.53,69.53
Worcestershire sauce,27.4,5.52
Wurstel,17.9,2.89
Yogurt greco,7.94,4.99
Yogurt magro,11.0,1.7
Zafferano,10156.25,10.57
Zenzero fresco,71.07,12.6
Zenzero fresco (polpa),12.6,12.6
Zenzero fresco 3 cm di,71.07,5.56
Zenzero fresco 4 cm di,71.07,5.56
Zenzero in polvere,71.07,7.92
Zucca,25.82,1.58
Zucca (già pulita),25.82,1.58
Zucca da pulire,25.82,1.58
Zucca delica,2.78,2.78
Zucchero,13.45,1.39
Zucchero di canna,19.18,1.89
Zucchine,4.6,1.59
Zucchine (3 medie),19.23,1.59
Zucchine baby,4.03,1.95
Zucchine bianche,3.25,3.25
Zucchine chiare,10.68,1.59
Zucchine piccola,10.68,1.59
Zucchine piccole,5.62,5.62
Zucchine tonde,10.68,1.59
con latte 100% italiano,15.5,1.95
macinato,,
macinato grossolanamente,,
macinato grossolanamente),,
o di pesce volante),69.75,6.64
pulito e rifilato,19.9,19.9
pulito e rifilato),19.9,19.9
sgocciolato,,
