data;scontrini;totale;ristorante
20180212;0;0.00;R003
20180212;0;0.00;R004
20180212;0;0.00;R005
20180213;0;0.00;R001
20180213;0;0.00;R002
20180213;0;0.00;R003
20180213;0;0.00;R004
20180213;0;0.00;R005
20180214;0;0.00;R001
20180214;0;0.00;R002
20180214;0;0.00;R003
20180214;0;0.00;R004
20180214;0;0.00;R005
20180215;0;0.00;R001
20180215;0;0.00;R002
20180215;0;0.00;R003
20180215;0;0.00;R004
20180215;0;0.00;R005
20180216;0;0.00;R001
20180216;0;0.00;R002
20180216;0;0.00;R003
20180216;0;0.00;R004
20180216;0;0.00;R005
20180217;0;0.00;R001
20180217;0;0.00;R002
20180217;0;0.00;R003
20180217;0;0.00;R004
20180217;0;0.00;R005
20180218;0;0.00;R001
20180218;0;0.00;R002
20180218;0;0.00;R003
20180218;0;0.00;R004
20180218;0;0.00;R005
20180219;0;0.00;R001
20180219;0;0.00;R002
20180219;0;0.00;R003
20180219;0;0.00;R004
20180219;0;0.00;R005
20180220;0;0.00;R001
20180220;0;0.00;R002
20180220;0;0.00;R003
20180220;0;0.00;R004
20180220;0;0.00;R005
20180221;0;0.00;R001
20180221;0;0.00;R002
20180221;0;0.00;R003
20180221;0;0.00;R004
20180221;0;0.00;R005
20180222;0;0.00;R001
20180222;0;0.00;R002
20180222;0;0.00;R003
20180222;0;0.00;R004
20180222;0;0.00;R005
20180223;0;0.00;R001
20180223;0;0.00;R002
20180223;0;0.00;R003
20180223;0;0.00;R004
20180223;0;0.00;R005
20180224;0;0.00;R001
20180224;0;0.00;R002
20180224;0;0.00;R003
20180224;0;0.00;R004
20180224;0;0.00;R005
20180225;0;0.00;R001
20180225;0;0.00;R002
20180225;0;0.00;R003
20180225;0;0.00;R004
20180225;0;0.00;R005
20180226;0;0.00;R001
20180226;0;0.00;R002
20180226;0;0.00;R003
20180226;0;0.00;R004
20180226;0;0.00;R005
20180227;0;0.00;R001
20180227;0;0.00;R002
20180227;0;0.00;R003
20180227;0;0.00;R004
20180227;0;0.00;R005
20180228;0;0.00;R001
20180228;0;0.00;R002
20180228;0;0.00;R003
20180228;0;0.00;R004
20180228;0;0.00;R005
20180301;21714;519689.04;R001
20180301;28637;854864.40;R002
20180301;23149;304845.84;R003
20180301;24843;582082.80;R004
20180301;22739;507920.40;R005
20180302;0;0.00;R001
20180302;0;0.00;R002
20180302;0;0.00;R003
20180302;0;0.00;R004
20180302;0;0.00;R005
20180303;0;0.00;R001
20180303;0;0.00;R002
20180303;0;0.00;R003
20180303;0;0.00;R004
20180303;0;0.00;R005
20180304;0;0.00;R001
20180304;0;0.00;R002
20180304;0;0.00;R003
20180304;0;0.00;R004
20180304;0;0.00;R005
20180305;0;0.00;R001
20180305;0;0.00;R002
20180305;0;0.00;R003
20180305;0;0.00;R004
20180305;0;0.00;R005
20180306;0;0.00;R001
20180306;0;0.00;R002
20180306;0;0.00;R003
20180306;0;0.00;R004
20180306;0;0.00;R005
20180307;0;0.00;R001
20180307;0;0.00;R002
20180307;0;0.00;R003
20180307;0;0.00;R004
20180307;0;0.00;R005
20180308;0;0.00;R001
20180308;0;0.00;R002
20180308;0;0.00;R003
20180308;0;0.00;R004
20180308;0;0.00;R005
20180309;0;0.00;R001
20180309;0;0.00;R002
20180309;0;0.00;R003
20180309;0;0.00;R004
20180309;0;0.00;R005
20180310;0;0.00;R001
20180310;0;0.00;R002
20180310;0;0.00;R003
20180310;0;0.00;R004
20180310;0;0.00;R005
20180311;0;0.00;R001
20180311;0;0.00;R002
20180311;0;0.00;R003
20180311;0;0.00;R004
20180311;0;0.00;R005
20180312;0;0.00;R001
20180312;0;0.00;R002
20180312;0;0.00;R003
20180312;0;0.00;R004
20180312;0;0.00;R005
20180313;0;0.00;R001
20180313;0;0.00;R002
20180313;0;0.00;R003
20180313;0;0.00;R004
20180313;0;0.00;R005
20180314;0;0.00;R001
20180314;0;0.00;R002
20180314;0;0.00;R003
20180314;0;0.00;R004
20180314;0;0.00;R005
20180315;0;0.00;R001
20180315;0;0.00;R002
20180315;0;0.00;R003
20180315;0;0.00;R004
20180315;0;0.00;R005
20180316;0;0.00;R001
20180316;0;0.00;R002
20180316;0;0.00;R003
20180316;0;0.00;R004
20180316;0;0.00;R005
20180317;0;0.00;R001
20180317;0;0.00;R002
20180317;0;0.00;R003
20180317;0;0.00;R004
20180317;0;0.00;R005
20180318;0;0.00;R001
20180318;0;0.00;R002
20180318;0;0.00;R003
20180318;0;0.00;R004
20180318;0;0.00;R005
20180319;0;0.00;R001
20180319;0;0.00;R002
20180319;0;0.00;R003
20180319;0;0.00;R004
20180319;0;0.00;R005
20180320;0;0.00;R001
20180320;0;0.00;R002
20180320;0;0.00;R003
20180320;0;0.00;R004
20180320;0;0.00;R005
20180321;0;0.00;R001
20180321;0;0.00;R002
20180321;0;0.00;R003
20180321;0;0.00;R004
20180321;0;0.00;R005
20180322;0;0.00;R001
20180322;0;0.00;R002
20180322;0;0.00;R003
20180322;0;0.00;R004
20180322;0;0.00;R005
20180323;0;0.00;R001
20180323;0;0.00;R002
20180323;0;0.00;R003
20180323;0;0.00;R004
20180323;0;0.00;R005
20180324;0;0.00;R001
20180324;0;0.00;R002
20180324;0;0.00;R003
20180324;0;0.00;R004
20180324;0;0.00;R005
20180325;0;0.00;R001
20180325;0;0.00;R002
20180325;0;0.00;R003
20180325;0;0.00;R004
20180325;0;0.00;R005
20180326;0;0.00;R001
20180326;0;0.00;R002
20180326;0;0.00;R003
20180326;0;0.00;R004
20180326;0;0.00;R005
20180327;0;0.00;R001
20180327;0;0.00;R002
20180327;0;0.00;R003
20180327;0;0.00;R004
20180327;0;0.00;R005
20180328;0;0.00;R001
20180328;0;0.00;R002
20180328;0;0.00;R003
20180328;0;0.00;R004
20180328;0;0.00;R005
20180329;0;0.00;R001
20180329;0;0.00;R002
20180329;0;0.00;R003
20180329;0;0.00;R004
20180329;0;0.00;R005
20180330;0;0.00;R001
20180330;0;0.00;R002
20180330;0;0.00;R003
20180330;0;0.00;R004
20180330;0;0.00;R005
20180331;0;0.00;R001
20180331;0;0.00;R002
20180331;0;0.00;R003
20180331;0;0.00;R004
20180331;0;0.00;R005
20180401;22326;558392.64;R001
20180401;27795;859818.96;R002
20180401;20361;283910.64;R003
20180401;20310;499980.00;R004
20180401;20543;470268.24;R005
20180402;0;0.00;R001
20180402;0;0.00;R002
20180402;0;0.00;R003
20180402;0;0.00;R004
20180402;0;0.00;R005
20180403;0;0.00;R001
20180403;0;0.00;R002
20180403;0;0.00;R003
20180403;0;0.00;R004
20180403;0;0.00;R005
20180404;0;0.00;R001
20180404;0;0.00;R002
20180404;0;0.00;R003
20180404;0;0.00;R004
20180404;0;0.00;R005
20180405;0;0.00;R001
20180405;0;0.00;R002
20180405;0;0.00;R003
20180405;0;0.00;R004
20180405;0;0.00;R005
20180406;0;0.00;R001
20180406;0;0.00;R002
20180406;0;0.00;R003
20180406;0;0.00;R004
20180406;0;0.00;R005
20180407;0;0.00;R001
20180407;0;0.00;R002
20180407;0;0.00;R003
20180407;0;0.00;R004
20180407;0;0.00;R005
20180408;0;0.00;R001
20180408;0;0.00;R002
20180408;0;0.00;R003
20180408;0;0.00;R004
20180408;0;0.00;R005
20180409;0;0.00;R001
20180409;0;0.00;R002
20180409;0;0.00;R003
20180409;0;0.00;R004
20180409;0;0.00;R005
20180410;0;0.00;R001
20180410;0;0.00;R002
20180410;0;0.00;R003
20180410;0;0.00;R004
20180410;0;0.00;R005
20180411;0;0.00;R001
20180411;0;0.00;R002
20180411;0;0.00;R003
20180411;0;0.00;R004
20180411;0;0.00;R005
20180412;0;0.00;R001
20180412;0;0.00;R002
20180412;0;0.00;R003
20180412;0;0.00;R004
20180412;0;0.00;R005
20180413;0;0.00;R001
20180413;0;0.00;R002
20180413;0;0.00;R003
20180413;0;0.00;R004
20180413;0;0.00;R005
20180414;0;0.00;R001
20180414;0;0.00;R002
20180414;0;0.00;R003
20180414;0;0.00;R004
20180414;0;0.00;R005
20180415;0;0.00;R001
20180415;0;0.00;R002
20180415;0;0.00;R003
20180415;0;0.00;R004
20180415;0;0.00;R005
20180416;0;0.00;R001
20180416;0;0.00;R002
20180416;0;0.00;R003
20180416;0;0.00;R004
20180416;0;0.00;R005
20180417;0;0.00;R001
20180417;0;0.00;R002
20180417;0;0.00;R003
20180417;0;0.00;R004
20180417;0;0.00;R005
20180418;0;0.00;R001
20180418;0;0.00;R002
20180418;0;0.00;R003
20180418;0;0.00;R004
20180418;0;0.00;R005
20180419;0;0.00;R001
20180419;0;0.00;R002
20180419;0;0.00;R003
20180419;0;0.00;R004
20180419;0;0.00;R005
20180420;0;0.00;R001
20180420;0;0.00;R002
20180420;0;0.00;R003
20180420;0;0.00;R004
20180420;0;0.00;R005
20180421;0;0.00;R001
20180421;0;0.00;R002
20180421;0;0.00;R003
20180421;0;0.00;R004
20180421;0;0.00;R005
20180422;0;0.00;R001
20180422;0;0.00;R002
20180422;0;0.00;R003
20180422;0;0.00;R004
20180422;0;0.00;R005
20180423;0;0.00;R001
20180423;0;0.00;R002
20180423;0;0.00;R003
20180423;0;0.00;R004
20180423;0;0.00;R005
20180424;0;0.00;R001
20180424;0;0.00;R002
20180424;0;0.00;R003
20180424;0;0.00;R004
20180424;0;0.00;R005
20180425;0;0.00;R001
20180425;0;0.00;R002
20180425;0;0.00;R003
20180425;0;0.00;R004
20180425;0;0.00;R005
20180426;0;0.00;R001
20180426;0;0.00;R002
20180426;0;0.00;R003
20180426;0;0.00;R004
20180426;0;0.00;R005
20180427;0;0.00;R001
20180427;0;0.00;R002
20180427;0;0.00;R003
20180427;0;0.00;R004
20180427;0;0.00;R005
20180428;0;0.00;R001
20180428;0;0.00;R002
20180428;0;0.00;R003
20180428;0;0.00;R004
20180428;0;0.00;R005
20180429;0;0.00;R001
20180429;0;0.00;R002
20180429;0;0.00;R003
20180429;0;0.00;R004
20180429;0;0.00;R005
20180430;0;0.00;R001
20180430;0;0.00;R002
20180430;0;0.00;R003
20180430;0;0.00;R004
20180430;0;0.00;R005
20180501;19669;493743.12;R001
20180501;27828;850898.88;R002
20180501;22136;301548.00;R003
20180501;25505;605613.84;R004
20180501;22318;492267.36;R005
20180502;0;0.00;R001
20180502;0;0.00;R002
