data,scontrini_R003,totale_R003
2018-01-01,19961.0,291457.92
2018-01-02,0.0,0.0
2018-01-03,0.0,0.0
2018-01-04,0.0,0.0
2018-01-05,0.0,0.0
2018-01-06,0.0,0.0
2018-01-07,0.0,0.0
2018-01-08,0.0,0.0
2018-01-09,0.0,0.0
2018-01-10,0.0,0.0
2018-01-11,0.0,0.0
2018-01-12,0.0,0.0
2018-01-13,0.0,0.0
2018-01-14,0.0,0.0
2018-01-15,0.0,0.0
2018-01-16,0.0,0.0
2018-01-17,0.0,0.0
2018-01-18,0.0,0.0
2018-01-19,0.0,0.0
2018-01-20,0.0,0.0
2018-01-21,0.0,0.0
2018-01-22,0.0,0.0
2018-01-23,0.0,0.0
2018-01-24,0.0,0.0
2018-01-25,0.0,0.0
2018-01-26,0.0,0.0
2018-01-27,0.0,0.0
2018-01-28,0.0,0.0
2018-01-29,0.0,0.0
2018-01-30,0.0,0.0
2018-01-31,0.0,0.0
2018-02-01,20436.0,279985.68
2018-02-02,0.0,0.0
2018-02-03,0.0,0.0
2018-02-04,0.0,0.0
2018-02-05,0.0,0.0
2018-02-06,0.0,0.0
2018-02-07,0.0,0.0
2018-02-08,0.0,0.0
2018-02-09,0.0,0.0
2018-02-10,0.0,0.0
2018-02-11,0.0,0.0
2018-02-12,0.0,0.0
2018-02-13,0.0,0.0
2018-02-14,0.0,0.0
2018-02-15,0.0,0.0
2018-02-16,0.0,0.0
2018-02-17,0.0,0.0
2018-02-18,0.0,0.0
2018-02-19,0.0,0.0
2018-02-20,0.0,0.0
2018-02-21,0.0,0.0
2018-02-22,0.0,0.0
2018-02-23,0.0,0.0
2018-02-24,0.0,0.0
2018-02-25,0.0,0.0
2018-02-26,0.0,0.0
2018-02-27,0.0,0.0
2018-02-28,0.0,0.0
2018-03-01,23149.0,304845.84
2018-03-02,0.0,0.0
2018-03-03,0.0,0.0
2018-03-04,0.0,0.0
2018-03-05,0.0,0.0
2018-03-06,0.0,0.0
2018-03-07,0.0,0.0
2018-03-08,0.0,0.0
2018-03-09,0.0,0.0
2018-03-10,0.0,0.0
2018-03-11,0.0,0.0
2018-03-12,0.0,0.0
2018-03-13,0.0,0.0
2018-03-14,0.0,0.0
2018-03-15,0.0,0.0
2018-03-16,0.0,0.0
2018-03-17,0.0,0.0
2018-03-18,0.0,0.0
2018-03-19,0.0,0.0
2018-03-20,0.0,0.0
2018-03-21,0.0,0.0
2018-03-22,0.0,0.0
2018-03-23,0.0,0.0
2018-03-24,0.0,0.0
2018-03-25,0.0,0.0
2018-03-26,0.0,0.0
2018-03-27,0.0,0.0
2018-03-28,0.0,0.0
2018-03-29,0.0,0.0
2018-03-30,0.0,0.0
2018-03-31,0.0,0.0
2018-04-01,20361.0,283910.64
2018-04-02,0.0,0.0
2018-04-03,0.0,0.0
2018-04-04,0.0,0.0
2018-04-05,0.0,0.0
2018-04-06,0.0,0.0
2018-04-07,0.0,0.0
2018-04-08,0.0,0.0
2018-04-09,0.0,0.0
2018-04-10,0.0,0.0
2018-04-11,0.0,0.0
2018-04-12,0.0,0.0
2018-04-13,0.0,0.0
2018-04-14,0.0,0.0
2018-04-15,0.0,0.0
2018-04-16,0.0,0.0
2018-04-17,0.0,0.0
2018-04-18,0.0,0.0
2018-04-19,0.0,0.0
2018-04-20,0.0,0.0
2018-04-21,0.0,0.0
2018-04-22,0.0,0.0
2018-04-23,0.0,0.0
2018-04-24,0.0,0.0
2018-04-25,0.0,0.0
2018-04-26,0.0,0.0
2018-04-27,0.0,0.0
2018-04-28,0.0,0.0
2018-04-29,0.0,0.0
2018-04-30,0.0,0.0
2018-05-01,22136.0,301548.0
2018-05-02,0.0,0.0
2018-05-03,0.0,0.0
2018-05-04,0.0,0.0
2018-05-05,0.0,0.0
2018-05-06,0.0,0.0
2018-05-07,0.0,0.0
2018-05-08,0.0,0.0
2018-05-09,0.0,0.0
2018-05-10,0.0,0.0
2018-05-11,0.0,0.0
2018-05-12,0.0,0.0
2018-05-13,0.0,0.0
2018-05-14,0.0,0.0
2018-05-15,0.0,0.0
2018-05-16,0.0,0.0
2018-05-17,0.0,0.0
2018-05-18,0.0,0.0
2018-05-19,0.0,0.0
2018-05-20,0.0,0.0
2018-05-21,0.0,0.0
2018-05-22,0.0,0.0
2018-05-23,0.0,0.0
2018-05-24,0.0,0.0
2018-05-25,0.0,0.0
2018-05-26,0.0,0.0
2018-05-27,0.0,0.0
2018-05-28,0.0,0.0
2018-05-29,0.0,0.0
2018-05-30,0.0,0.0
2018-05-31,0.0,0.0
2018-06-01,20933.0,287305.2
2018-06-02,0.0,0.0
2018-06-03,0.0,0.0
2018-06-04,0.0,0.0
2018-06-05,0.0,0.0
2018-06-06,0.0,0.0
2018-06-07,0.0,0.0
2018-06-08,0.0,0.0
2018-06-09,0.0,0.0
2018-06-10,0.0,0.0
2018-06-11,0.0,0.0
2018-06-12,0.0,0.0
2018-06-13,0.0,0.0
2018-06-14,0.0,0.0
2018-06-15,0.0,0.0
2018-06-16,0.0,0.0
2018-06-17,0.0,0.0
2018-06-18,0.0,0.0
2018-06-19,0.0,0.0
2018-06-20,0.0,0.0
2018-06-21,0.0,0.0
2018-06-22,0.0,0.0
2018-06-23,0.0,0.0
2018-06-24,0.0,0.0
2018-06-25,0.0,0.0
2018-06-26,0.0,0.0
2018-06-27,0.0,0.0
2018-06-28,0.0,0.0
2018-06-29,0.0,0.0
2018-06-30,0.0,0.0
2018-07-01,22138.0,297573.12
2018-07-02,0.0,0.0
2018-07-03,0.0,0.0
2018-07-04,0.0,0.0
2018-07-05,0.0,0.0
2018-07-06,0.0,0.0
2018-07-07,0.0,0.0
2018-07-08,0.0,0.0
2018-07-09,0.0,0.0
2018-07-10,0.0,0.0
2018-07-11,0.0,0.0
2018-07-12,0.0,0.0
2018-07-13,0.0,0.0
2018-07-14,0.0,0.0
2018-07-15,0.0,0.0
2018-07-16,0.0,0.0
2018-07-17,0.0,0.0
2018-07-18,0.0,0.0
2018-07-19,0.0,0.0
2018-07-20,0.0,0.0
2018-07-21,0.0,0.0
2018-07-22,0.0,0.0
2018-07-23,0.0,0.0
2018-07-24,0.0,0.0
2018-07-25,0.0,0.0
2018-07-26,0.0,0.0
2018-07-27,0.0,0.0
2018-07-28,0.0,0.0
2018-07-29,0.0,0.0
2018-07-30,0.0,0.0
2018-07-31,0.0,0.0
2018-08-01,20509.0,287015.04
2018-08-02,0.0,0.0
2018-08-03,0.0,0.0
2018-08-04,0.0,0.0
2018-08-05,0.0,0.0
2018-08-06,0.0,0.0
2018-08-07,0.0,0.0
2018-08-08,0.0,0.0
2018-08-09,0.0,0.0
2018-08-10,0.0,0.0
2018-08-11,0.0,0.0
2018-08-12,0.0,0.0
2018-08-13,0.0,0.0
2018-08-14,0.0,0.0
2018-08-15,0.0,0.0
2018-08-16,0.0,0.0
2018-08-17,0.0,0.0
2018-08-18,0.0,0.0
2018-08-19,0.0,0.0
2018-08-20,0.0,0.0
2018-08-21,0.0,0.0
2018-08-22,0.0,0.0
2018-08-23,0.0,0.0
2018-08-24,0.0,0.0
2018-08-25,0.0,0.0
2018-08-26,0.0,0.0
2018-08-27,0.0,0.0
2018-08-28,0.0,0.0
2018-08-29,0.0,0.0
2018-08-30,0.0,0.0
2018-08-31,0.0,0.0
2018-09-01,815.0,12843.98
2018-09-02,614.0,11186.6
2018-09-03,732.0,11780.12
2018-09-04,763.0,11823.71
2018-09-05,750.0,11815.69
2018-09-06,746.0,11993.69
2018-09-07,717.0,11423.54
2018-09-08,800.0,11788.2
2018-09-09,655.0,10599.98
2018-09-10,745.0,11130.57
2018-09-11,756.0,13003.04
2018-09-12,792.0,12288.31
2018-09-13,856.0,13875.23
2018-09-14,871.0,15439.51
2018-09-15,848.0,14223.96
2018-09-16,699.0,12816.9
2018-09-17,851.0,13568.51
2018-09-18,767.0,12033.68
2018-09-19,823.0,12817.3
2018-09-20,901.0,13613.09
2018-09-21,929.0,14983.24
2018-09-22,880.0,15441.72
2018-09-23,694.0,12159.36
2018-09-24,836.0,11598.6
2018-09-25,892.0,11984.04
2018-09-26,856.0,11345.04
2018-09-27,864.0,11002.09
2018-09-28,1020.0,15066.39
2018-09-29,971.0,15134.25
2018-09-30,816.0,12143.26
2018-10-01,770.0,11408.09
2018-10-02,834.0,11907.89
2018-10-03,829.0,11979.33
2018-10-04,772.0,11825.58
2018-10-05,859.0,14141.74
2018-10-06,895.0,14045.93
2018-10-07,629.0,11066.3
2018-10-08,775.0,11233.56
2018-10-09,774.0,10914.04
2018-10-10,735.0,10808.74
2018-10-11,782.0,11791.7
2018-10-12,953.0,16187.84
2018-10-13,920.0,14748.9
2018-10-14,648.0,11442.82
2018-10-15,836.0,12461.62
2018-10-16,743.0,11029.54
2018-10-17,799.0,11798.12
2018-10-18,756.0,11284.85
2018-10-19,810.0,13217.57
2018-10-20,889.0,15529.33
2018-10-21,667.0,12428.96
2018-10-22,748.0,10755.89
2018-10-23,732.0,10327.86
2018-10-24,779.0,11977.71
2018-10-25,693.0,10496.8
2018-10-26,765.0,12078.83
2018-10-27,751.0,12071.97
2018-10-28,596.0,10206.58
2018-10-29,701.0,9562.61
2018-10-30,755.0,11059.99
2018-10-31,894.0,15086.07
2018-11-01,620.0,10876.23
2018-11-02,685.0,12074.77
2018-11-03,787.0,11752.32
2018-11-04,708.0,12910.22
2018-11-05,799.0,11370.47
2018-11-06,690.0,9450.29
2018-11-07,747.0,10806.34
2018-11-08,748.0,10945.21
2018-11-09,833.0,13391.13
2018-11-10,891.0,14978.84
2018-11-11,628.0,11455.11
2018-11-12,719.0,10926.68
2018-11-13,730.0,10478.71
2018-11-14,741.0,11026.39
2018-11-15,760.0,11563.72
2018-11-16,956.0,16157.01
2018-11-17,920.0,15342.97
2018-11-18,663.0,13307.55
2018-11-19,866.0,10814.45
2018-11-20,837.0,11626.06
2018-11-21,904.0,12861.76
2018-11-22,902.0,14554.24
2018-11-23,980.0,15385.41
2018-11-24,1057.0,16580.52
2018-11-25,741.0,12675.44
2018-11-26,765.0,10612.34
2018-11-27,748.0,10650.12
2018-11-28,734.0,11405.91
2018-11-29,782.0,11902.71
2018-11-30,834.0,12770.72
2018-12-01,1023.0,16658.55
2018-12-02,673.0,11618.35
2018-12-03,806.0,12536.88
2018-12-04,787.0,10832.39
2018-12-05,763.0,12706.45
2018-12-06,798.0,11058.22
2018-12-07,985.0,15854.34
2018-12-08,817.0,14516.33
2018-12-09,614.0,12406.9
2018-12-10,843.0,12540.0
2018-12-11,777.0,11924.14
2018-12-12,898.0,13367.23
2018-12-13,783.0,11350.12
2018-12-14,950.0,15193.93
2018-12-15,978.0,17585.6
2018-12-16,646.0,11973.56
2018-12-17,1015.0,18129.79
2018-12-18,1048.0,18772.23
2018-12-19,760.0,11787.27
2018-12-20,911.0,13317.91
2018-12-21,1058.0,19795.12
2018-12-22,1016.0,18650.7
2018-12-23,623.0,12882.01
2018-12-24,760.0,13528.66
2018-12-25,0.0,0.0
2018-12-26,0.0,0.0
2018-12-27,716.0,12819.61
2018-12-28,744.0,13939.69
2018-12-29,834.0,15574.01
2018-12-30,652.0,12731.63
2018-12-31,546.0,9180.07
2019-01-01,0.0,0.0
2019-01-02,756.0,13875.79
2019-01-03,636.0,9393.6
2019-01-04,678.0,11828.14
2019-01-05,809.0,14025.77
2019-01-06,567.0,11059.59
2019-01-07,678.0,9842.04
2019-01-08,649.0,9320.28
2019-01-09,684.0,10346.17
2019-01-10,742.0,11829.23
2019-01-11,759.0,12354.73
2019-01-12,882.0,14878.34
2019-01-13,561.0,9768.41
2019-01-14,801.0,12348.02
2019-01-15,729.0,11731.57
2019-01-16,708.0,10613.18
2019-01-17,743.0,12599.0
2019-01-18,821.0,13785.66
2019-01-19,953.0,17096.38
2019-01-20,635.0,13033.74
2019-01-21,853.0,12938.42
2019-01-22,751.0,10685.69
2019-01-23,722.0,11445.53
2019-01-24,798.0,13064.53
2019-01-25,880.0,14985.27
2019-01-26,932.0,16822.82
2019-01-27,616.0,11532.36
2019-01-28,752.0,11238.3
2019-01-29,721.0,11621.84
2019-01-30,675.0,11144.33
2019-01-31,708.0,10670.37
2019-02-01,762.0,11808.86
2019-02-02,893.0,15368.96
2019-02-03,518.0,9067.87
2019-02-04,767.0,10736.48
2019-02-05,753.0,10716.83
2019-02-06,717.0,11407.44
2019-02-07,706.0,10295.84
2019-02-08,803.0,12718.52
2019-02-09,849.0,15052.6
2019-02-10,543.0,9765.07
2019-02-11,813.0,12090.28
2019-02-12,794.0,11952.22
2019-02-13,805.0,11776.91
2019-02-14,864.0,14753.58
2019-02-15,856.0,14356.31
2019-02-16,906.0,15559.56
2019-02-17,634.0,12048.63
2019-02-18,779.0,11897.46
2019-02-19,750.0,11520.69
2019-02-20,802.0,12733.84
2019-02-21,743.0,12459.66
2019-02-22,832.0,13384.14
2019-02-23,973.0,17719.26
2019-02-24,648.0,12473.04
2019-02-25,831.0,12525.08
2019-02-26,831.0,11277.27
2019-02-27,929.0,13468.38
2019-02-28,845.0,11177.68
2019-03-01,1015.0,15418.88
2019-03-02,1097.0,16578.12
2019-03-03,706.0,12201.07
2019-03-04,823.0,11520.94
2019-03-05,743.0,11459.54
2019-03-06,740.0,10917.44
2019-03-07,715.0,10406.7
2019-03-08,772.0,12385.31
2019-03-09,824.0,12442.44
2019-03-10,669.0,11436.52
2019-03-11,844.0,13213.67
2019-03-12,732.0,11336.89
2019-03-13,779.0,12830.34
2019-03-14,749.0,11187.29
2019-03-15,986.0,16452.88
2019-03-16,914.0,15391.21
2019-03-17,610.0,10909.42
2019-03-18,763.0,11457.05
2019-03-19,800.0,13057.23
2019-03-20,796.0,12667.54
2019-03-21,773.0,11590.36
2019-03-22,866.0,13671.18
2019-03-23,927.0,15800.74
2019-03-24,678.0,12474.48
2019-03-25,770.0,11932.72
2019-03-26,751.0,11013.79
2019-03-27,743.0,12458.47
2019-03-28,840.0,13881.5
2019-03-29,857.0,14565.88
2019-03-30,907.0,15106.38
2019-03-31,719.0,12877.21
2019-04-01,829.0,11994.09
2019-04-02,778.0,11636.35
2019-04-03,740.0,11378.14
2019-04-04,742.0,11276.65
2019-04-05,859.0,13945.62
2019-04-06,959.0,14857.66
2019-04-07,663.0,12933.37
2019-04-08,788.0,11202.11
2019-04-09,811.0,11578.6
2019-04-10,785.0,11862.12
2019-04-11,801.0,12370.27
2019-04-12,893.0,13694.09
2019-04-13,961.0,15513.14
2019-04-14,617.0,11981.17
2019-04-15,849.0,12922.7
2019-04-16,803.0,12001.05
2019-04-17,1024.0,16586.08
2019-04-18,944.0,14390.06
2019-04-19,842.0,13435.16
2019-04-20,1001.0,17069.83
2019-04-21,0.0,0.0
2019-04-22,0.0,0.0
2019-04-23,726.0,12342.13
2019-04-24,727.0,11808.76
2019-04-25,621.0,10747.43
2019-04-26,780.0,11752.88
2019-04-27,845.0,14850.58
2019-04-28,661.0,11632.45
2019-04-29,725.0,10737.89
2019-04-30,882.0,13266.9
2019-05-01,700.0,11312.81
2019-05-02,734.0,10978.81
2019-05-03,824.0,12472.86
2019-05-04,911.0,13679.95
2019-05-05,614.0,11567.62
2019-05-06,690.0,10246.67
2019-05-07,673.0,9626.45
2019-05-08,642.0,10282.49
2019-05-09,717.0,11179.12
2019-05-10,745.0,12232.08
2019-05-11,927.0,16983.1
2019-05-12,778.0,15465.0
2019-05-13,708.0,11225.32
2019-05-14,663.0,10213.01
2019-05-15,701.0,11862.3
2019-05-16,848.0,12648.73
2019-05-17,753.0,12213.65
2019-05-18,842.0,15587.27
2019-05-19,608.0,12152.74
2019-05-20,720.0,11976.78
2019-05-21,776.0,11610.18
2019-05-22,630.0,10495.96
2019-05-23,799.0,11972.28
2019-05-24,779.0,12558.75
2019-05-25,847.0,14301.33
2019-05-26,611.0,11787.11
2019-05-27,767.0,11870.1
2019-05-28,694.0,10899.84
2019-05-29,743.0,10398.65
2019-05-30,814.0,11673.11
2019-05-31,869.0,13471.91
2019-06-01,993.0,14306.85
2019-06-02,669.0,11443.79
2019-06-03,818.0,11891.85
2019-06-04,845.0,12137.46
2019-06-05,764.0,11844.55
2019-06-06,779.0,11011.51
2019-06-07,1053.0,19275.73
2019-06-08,809.0,13239.13
2019-06-09,676.0,12024.67
2019-06-10,704.0,11043.58
2019-06-11,777.0,11937.87
2019-06-12,790.0,12518.94
2019-06-13,733.0,11166.85
2019-06-14,706.0,11782.43
2019-06-15,810.0,13998.63
2019-06-16,716.0,12056.52
2019-06-17,791.0,13293.76
2019-06-18,765.0,11214.09
2019-06-19,797.0,12831.84
2019-06-20,817.0,13096.61
2019-06-21,818.0,13319.4
2019-06-22,789.0,14402.01
2019-06-23,692.0,12230.52
2019-06-24,781.0,11774.97
2019-06-25,749.0,10569.31
2019-06-26,754.0,11036.78
2019-06-27,835.0,13319.09
2019-06-28,817.0,12799.08
2019-06-29,861.0,13813.43
2019-06-30,778.0,13785.03
2019-07-01,780.0,12094.34
2019-07-02,639.0,9808.62
2019-07-03,709.0,11227.13
2019-07-04,681.0,11401.95
2019-07-05,848.0,13939.13
2019-07-06,928.0,14612.52
2019-07-07,690.0,12573.88
2019-07-08,756.0,11816.59
2019-07-09,658.0,10345.89
2019-07-10,806.0,11993.12
2019-07-11,738.0,12216.42
2019-07-12,752.0,12014.84
2019-07-13,888.0,14617.86
2019-07-14,650.0,12896.49
2019-07-15,725.0,12177.39
2019-07-16,749.0,11928.45
2019-07-17,733.0,10621.7
2019-07-18,771.0,13045.72
2019-07-19,782.0,13769.4
2019-07-20,929.0,15271.4
2019-07-21,736.0,11676.63
2019-07-22,745.0,12073.65
2019-07-23,732.0,10959.22
2019-07-24,696.0,11080.65
2019-07-25,740.0,11466.09
2019-07-26,831.0,11930.72
2019-07-27,814.0,14161.65
2019-07-28,640.0,11919.9
2019-07-29,750.0,11473.49
2019-07-30,726.0,11624.81
2019-07-31,659.0,10343.3
2019-08-01,659.0,11291.16
2019-08-02,682.0,11902.05
2019-08-03,823.0,13525.23
2019-08-04,684.0,12015.18
2019-08-05,649.0,10346.7
2019-08-06,636.0,10446.38
2019-08-07,697.0,11348.53
2019-08-08,606.0,10321.9
2019-08-09,743.0,12074.24
2019-08-10,820.0,14375.43
2019-08-11,656.0,11821.87
2019-08-12,693.0,11890.85
2019-08-13,689.0,10919.19
